id,name
1,Dhaka
2,Faridpur
3,Gazipur
4,Gopalganj
5,Jamalpur
6,Kishoreganj
7,Madaripur
8,Manikganj
9,Munshiganj
10,Mymensingh
11,Narayanganj
12,Narsingdi
13,Netrokona
14,Rajbari
15,Shariatpur
16,Sherpur
17,Tangail
18,Bogura
19,Joypurhat
20,Naogaon
21,Natore
22,Nawabganj
23,Pabna
24,Rajshahi
25,Sirajgonj
26,Dinajpur
27,Gaibandha
28,Kurigram
29,Lalmonirhat
30,Nilphamari
31,Panchagarh
32,Rangpur
33,Thakurgaon
34,Barguna
35,Barishal
36,Bhola
37,Jhalokati
38,Patuakhali
39,Pirojpur
40,Bandarban
41,Brahmanbaria
42,Chandpur
43,Chattogram
44,Cumilla
45,Cox's Bazar
46,Feni
47,Khagrachari
48,Lakshmipur
49,Noakhali
50,Rangamati
51,Habiganj
52,Maulvibazar
53,Sunamganj
54,Sylhet
55,Bagerhat
56,Chuadanga
57,Jashore
58,Jhenaidah
59,Khulna
60,Kushtia
61,Magura
62,Meherpur
63,Narail
64,Satkhira
